Label,VoxelCount,Volume,Subtracted_Volume,Volume_Delta,Centroid.X,Centroid.Y,Centroid.Z
193,26952,26952,26952,0,453.103,604.057,6.613
194,30623,30623,30484,139,506.434,602.008,9.112
195,18675,18675,18675,0,632.426,600.472,9.061
196,30272,30272,30272,0,434.597,588.735,22.354
197,26079,26079,26079,0,610.806,619.030,7.822
198,16453,16453,16453,0,580.065,614.238,6.430
199,22550,22550,22484,66,57.720,601.706,10.198
200,16475,16475,16475,0,355.842,614.870,5.692
201,21651,21651,21628,23,650.795,622.753,10.165
202,23426,23426,23426,0,416.973,623.089,10.727
203,28786,28786,28784,2,174.468,637.589,11.322
204,26232,26232,26231,1,695.761,616.081,11.660
205,6644,6644,6644,0,242.788,631.429,3.476
206,11865,11865,11842,23,491.889,631.467,5.817
207,22589,22589,22577,12,881.102,629.511,10.045
208,15435,15435,15410,25,138.106,624.507,10.105
209,24014,24014,23988,26,526.652,631.581,11.753
210,13155,13155,13153,2,558.683,637.505,6.232
211,13305,13305,13305,0,680.867,643.730,6.216
212,24604,24604,24626,-22,302.254,644.494,11.384
213,19410,19410,19406,4,731.185,639.649,7.714
214,19968,19968,19968,0,211.391,646.833,7.094
215,39464,39464,39439,25,468.808,632.574,19.051
216,24633,24633,24633,0,770.084,631.762,9.453
217,1463,1463,1463,0,140.888,640.427,4.923
218,15682,15682,15682,0,322.148,666.275,5.962
219,561,561,561,0,131.995,640.111,3.387
220,34794,34794,34780,14,627.604,670.905,12.637
221,13843,13843,13843,0,512.486,657.864,7.482
222,997,997,997,0,122.579,639.975,6.484
223,19245,19245,19245,0,116.768,648.819,10.283
224,16093,16093,16093,0,657.170,660.446,6.082
225,18961,18961,18954,7,450.213,661.603,9.673
226,18884,18884,18862,22,483.789,662.958,9.143
227,21949,21949,21949,0,704.762,659.403,9.226
228,40285,40285,40285,0,548.005,673.644,13.412
229,19294,19294,19257,37,580.117,671.637,7.614
230,34938,34938,34867,71,602.228,654.911,15.727
231,39947,39947,39884,63,425.416,686.404,17.523
232,22086,22086,21972,114,281.262,676.678,9.655
233,16899,16899,16892,7,221.299,692.209,9.157
234,25645,25645,25639,6,402.017,680.103,15.744
235,38065,38065,38065,0,521.309,690.816,16.156
236,15190,15190,15190,0,451.628,691.861,6.856
237,36979,36979,36979,0,799.031,696.247,11.887
238,28051,28051,28051,0,615.059,701.801,7.307
239,11862,11862,11830,32,570.510,708.335,4.806
240,18183,18183,18183,0,501.803,707.943,8.907
241,26563,26563,26576,-13,379.028,715.796,10.805
242,45304,45304,45304,0,541.272,732.919,10.802
243,25843,25843,25824,19,477.008,724.472,11.239
244,26219,26219,26219,0,653.663,713.873,10.396
245,42994,42994,42983,11,456.241,713.597,21.805
246,23006,23006,22996,10,212.260,727.979,10.878
247,16054,16054,16054,0,406.416,738.101,6.091
248,40911,40911,40911,0,303.949,731.506,18.669
249,22700,22700,22596,104,430.308,735.814,12.125
250,34818,34818,34818,0,590.123,728.191,13.260
251,20575,20575,20496,79,88.291,718.684,9.724
252,16721,16721,16721,0,322.758,736.990,9.185
253,22660,22660,22660,0,360.780,751.576,10.185
254,24481,24481,24481,0,241.259,739.673,13.742
255,21017,21017,20912,105,492.609,746.634,11.030
256,23155,23155,23155,0,573.955,761.420,6.335
257,21143,21143,21115,28,447.224,753.893,10.556
258,20976,20976,20976,0,279.386,762.281,10.495
259,18889,18889,18889,0,334.713,761.346,13.336
260,29672,29672,29672,0,177.892,754.170,15.473
261,19573,19573,19573,0,515.339,772.831,6.751
262,22105,22105,22105,0,788.091,758.616,11.642
263,25044,25044,25044,0,472.178,776.837,12.942
264,37406,37406,37406,0,703.114,778.086,9.213
265,20592,20592,20592,0,603.736,781.730,8.032
266,16748,16748,16708,40,626.825,794.903,4.714
267,20511,20511,20511,0,346.522,791.166,7.836
268,23842,23842,23727,115,376.003,794.296,13.897
269,17423,17423,17409,14,282.552,793.876,7.742
270,19402,19402,19402,0,474.853,809.604,9.805
271,19797,19797,19797,0,525.309,808.412,8.132
272,19124,19124,19115,9,501.011,819.708,7.041
273,25117,25117,25108,9,562.008,827.411,7.559
274,43050,43050,43050,0,452.547,835.333,13.077
275,26929,26929,26929,0,607.559,838.693,7.113
276,31387,31387,31385,2,400.846,849.766,10.676
277,42749,42749,42749,0,533.754,846.787,16.012
278,40588,40588,40408,180,1000.624,870.500,12.740
279,18640,18640,18616,24,991.374,898.318,6.569
280,28492,28492,28489,3,505.112,892.406,9.933
281,29255,29255,29255,0,358.446,903.419,9.134
282,27454,27454,27128,326,1012.434,931.458,11.850
283,36650,36650,36599,51,976.770,941.318,9.025
284,18667,18667,18578,89,1003.487,979.337,5.842
285,42952,42952,42432,520,965.772,977.468,13.038
286,20842,20842,20585,257,994.361,1006.433,14.764
287,1139,1139,1139,0,983.391,1004.386,1.539
288,351,351,351,0,973.165,1005.057,1.960
289,19172,19172,19106,66,918.540,1014.496,13.667
290,25713,25713,24557,1156,953.342,1010.499,13.667
291,1021,1021,1012,9,1014.360,1017.865,1.950
292,358,358,350,8,1001.983,1018.983,1.779
293,38705,38705,38560,145,731.724,163.676,14.755
294,28342,28342,28289,53,661.869,165.947,15.476
295,298,298,284,14,65.211,200.597,2.305
296,29948,29948,29948,0,461.098,208.201,15.688
297,31294,31294,31270,24,595.417,215.395,19.562
298,30865,30865,30865,0,273.369,292.650,16.533
299,28887,28887,28764,123,433.155,300.858,15.232
300,23502,23502,23502,0,103.894,363.650,14.837
301,24401,24401,24393,8,996.329,372.196,11.648
302,28787,28787,28787,0,547.575,381.499,26.081
303,39084,39084,39050,34,704.995,402.678,22.569
304,29268,29268,29164,104,583.786,401.021,21.004
305,873,873,873,0,58.929,463.977,4.633
306,191,191,191,0,102.414,475.351,5.466
307,24239,24239,24217,22,11.676,497.795,12.012
308,22882,22882,22874,8,1000.615,543.997,13.727
309,10367,10367,10367,0,152.511,550.516,10.182
310,21181,21181,20979,202,38.135,585.476,13.094
311,19925,19925,19925,0,234.076,597.348,17.372
312,24808,24808,24808,0,561.784,608.456,26.227
313,170,170,170,0,130.641,646.012,2.782
314,42730,42730,42730,0,319.609,789.584,19.987
315,26577,26577,26577,0,501.841,782.407,27.964
316,665,665,665,0,1021.126,840.451,4.656
317,28442,28442,28426,16,576.323,861.075,12.956
318,29640,29640,29631,9,636.662,152.603,17.841
319,28323,28323,28068,255,692.670,160.037,16.636
320,51828,51828,51697,131,831.782,153.158,16.010
321,32368,32368,32299,69,393.057,156.499,14.678
322,40338,40338,40240,98,932.814,329.205,17.014
323,26632,26632,26629,3,335.430,493.829,18.292
324,252,252,252,0,1018.877,533.623,5.389
325,75,75,75,0,149.120,536.160,4.933
326,40109,40109,40109,0,323.099,600.854,22.044
327,35377,35377,35330,47,615.362,808.276,20.355
328,24252,24252,24218,34,363.943,856.297,15.160
329,38923,38923,38819,104,521.473,872.897,17.312
330,45149,45149,45147,2,486.235,997.223,17.580
331,27122,27122,27099,23,442.066,991.677,11.613
332,21213,21213,21122,91,685.676,110.543,11.936
333,26774,26774,26774,0,481.019,180.530,19.748
334,40200,40200,40171,29,707.822,232.088,18.143
335,23489,23489,23489,0,106.640,222.160,14.129
336,33165,33165,33125,40,662.953,305.719,22.315
337,45205,45205,45124,81,211.130,378.197,22.659
338,27512,27512,27492,20,349.753,367.663,21.560
339,219,219,219,0,1017.119,536.311,9.215
340,25353,25353,25335,18,992.616,572.603,15.921
341,28065,28065,28065,0,551.613,586.934,20.897
342,1045,1045,1045,0,139.981,649.257,7.143
343,31421,31421,31408,13,627.691,739.071,16.356
344,29867,29867,29867,0,571.959,755.123,25.151
345,38796,38796,38796,0,835.819,751.874,20.285
346,25824,25824,25824,0,437.149,803.629,18.878
347,30834,30834,30743,91,626.478,849.270,16.552
348,23014,23014,22975,39,390.825,881.384,14.887
349,43362,43362,43259,103,424.385,884.390,18.109
350,70715,70715,70392,323,427.342,930.934,14.659
351,445,445,445,0,464.393,960.227,5.196
352,32545,32545,32522,23,814.657,112.082,15.860
353,30638,30638,30568,70,778.273,114.101,19.564
354,34863,34863,34863,0,130.570,176.889,19.875
355,16740,16740,16740,0,1005.316,231.167,14.093
356,34984,34984,34834,150,840.886,311.265,17.673
357,27119,27119,27119,0,360.051,398.450,18.788
358,8047,8047,8047,0,1016.273,395.012,14.729
359,44448,44448,44409,39,709.359,521.560,20.056
360,327,327,327,0,236.015,619.471,6.657
361,21405,21405,21405,0,285.092,627.114,18.717
362,29639,29639,29599,40,574.697,688.502,25.097
363,25869,25869,25869,0,343.661,714.028,19.889
364,31191,31191,31087,104,507.507,720.949,26.472
365,19235,19235,19235,0,542.676,740.143,29.752
366,34652,34652,34462,190,27.005,791.247,18.066
367,10226,10226,10226,0,399.275,806.254,11.727
368,63601,63601,63592,9,514.952,927.075,18.617
369,27750,27750,27572,178,511.752,199.925,18.167
370,30866,30866,30866,0,285.480,215.781,23.017
371,45465,45465,45447,18,548.649,292.642,26.964
372,30931,30931,30879,52,798.710,305.126,19.915
373,25578,25578,25578,0,88.887,308.726,22.367
374,27986,27986,27986,0,853.978,352.149,19.620
375,43264,43264,43262,2,162.220,369.965,23.442
376,30016,30016,30001,15,417.490,396.141,22.771
377,19919,19919,19919,0,182.628,475.074,19.497
378,28365,28365,28365,0,173.668,586.145,18.508
379,21484,21484,21484,0,915.870,625.408,17.926
380,26363,26363,26363,0,315.980,690.546,19.775
381,29746,29746,29746,0,668.455,679.154,19.647
382,13226,13226,13217,9,954.610,725.705,13.972
383,46008,46008,46008,0,657.603,733.156,21.748
384,18852,18852,18837,15,84.141,756.876,16.459
385,34512,34512,34500,12,128.438,802.412,17.474
386,37477,37477,37419,58,221.243,804.402,25.272
387,20768,20768,20741,27,241.697,852.004,14.886
388,16882,16882,16882,0,588.155,948.448,10.907
389,234,234,234,0,464.517,955.731,6.979
390,47128,47128,46977,151,540.704,88.619,18.502
391,30608,30608,30579,29,800.496,187.621,24.510
392,23242,23242,23198,44,825.050,214.636,23.594
393,25739,25739,25736,3,23.251,265.918,21.588
394,28657,28657,28657,0,458.115,391.151,21.033
395,28837,28837,28837,0,485.967,403.126,25.990
396,41020,41020,41020,0,208.751,421.533,27.573
397,528,528,528,0,138.208,483.943,10.466
398,28419,28419,28419,0,927.898,539.820,20.194
399,7468,7468,7468,0,154.752,595.323,16.718
400,28099,28099,28099,0,796.845,607.864,20.560
401,1450,1450,1394,56,1.996,659.423,10.526
402,101,101,101,0,565.970,753.515,13.366
403,39005,39005,38840,165,461.517,889.169,22.706
404,24762,24762,24717,45,328.281,906.760,18.869
405,45499,45499,45499,0,362.886,944.418,19.807
406,20769,20769,20769,0,706.948,64.711,15.014
407,30971,30971,30971,0,733.688,90.265,22.665
408,25847,25847,25759,88,467.153,94.722,21.400
409,26938,26938,26800,138,374.964,125.577,17.251
410,31574,31574,31552,22,875.269,170.593,16.937
411,34983,34983,34951,32,922.966,180.926,18.464
412,28235,28235,28210,25,521.394,244.100,30.188
413,1076,1076,1076,0,46.964,285.935,11.089
414,23531,23531,23531,0,397.821,293.709,22.448
415,24200,24200,24200,0,76.339,451.449,22.330
416,28892,28892,28850,42,572.654,496.742,24.153
417,15817,15817,15817,0,240.150,704.181,18.933
418,29750,29750,29750,0,946.846,702.202,22.053
419,23865,23865,23865,0,783.781,793.807,16.256
420,27119,27119,27118,1,259.360,802.316,24.221
421,34048,34048,34023,25,180.401,827.085,20.557
422,23274,23274,23250,24,193.461,856.440,15.548
423,15440,15440,15440,0,551.640,887.193,16.593
424,24169,24169,24060,109,214.018,898.695,17.701
425,11846,11846,11843,3,565.728,70.120,17.612
426,27952,27952,27886,66,450.042,117.199,21.487
427,903,903,903,0,487.266,107.042,9.897
428,24614,24614,24614,0,340.393,144.835,20.605
429,25120,25120,24862,258,945.149,241.246,18.877
430,19247,19247,19218,29,983.795,247.216,20.943
431,31518,31518,31518,0,71.751,263.729,24.967
432,28205,28205,28163,42,353.670,266.122,23.134
433,34669,34669,34645,24,489.574,459.569,26.711
434,41573,41573,41573,0,722.379,573.882,28.113
435,13812,13812,13812,0,1016.254,599.737,22.598
436,14599,14599,14599,0,1014.715,648.345,21.206
437,32154,32154,32154,0,249.550,668.077,28.633
438,24884,24884,24884,0,388.622,665.265,23.740
439,35992,35992,35992,0,483.873,687.643,29.125
440,23304,23304,23295,9,17.868,751.411,20.595
441,24448,24448,24448,0,417.498,791.735,24.613
442,24276,24276,24276,0,109.501,844.739,23.702
443,33165,33165,33156,9,160.732,880.719,27.471
444,23591,23591,23591,0,356.574,888.684,22.271
445,31186,31186,31171,15,119.981,893.158,23.726
446,11663,11663,11651,12,559.472,49.642,20.209
447,46926,46926,46715,211,606.781,70.080,23.357
448,26534,26534,26534,0,801.157,83.641,24.684
449,47185,47185,46827,358,709.936,120.137,26.743
450,44303,44303,44203,100,852.713,134.284,25.732
451,32622,32622,32551,71,667.833,217.870,28.469
452,28712,28712,28691,21,492.443,240.910,24.615
453,27350,27350,27343,7,466.696,255.625,23.881
454,28088,28088,28056,32,931.178,362.773,23.453
455,33238,33238,33238,0,662.884,407.167,31.474
456,50800,50800,50800,0,779.365,484.652,24.554
457,26505,26505,26505,0,989.112,610.060,20.196
458,12242,12242,12191,51,6.141,616.956,23.443
459,30966,30966,30907,59,784.453,640.201,23.924
460,15602,15602,15602,0,14.670,681.391,20.532
461,12100,12100,12052,48,9.800,710.179,19.003
462,22627,22627,22627,0,214.533,760.537,22.883
463,29250,29250,29208,42,675.883,820.001,21.369
464,1544,1544,1544,0,392.780,825.758,14.129
465,37104,37104,37055,49,408.256,86.431,22.782
466,24317,24317,24265,52,884.568,85.266,21.946
467,21867,21867,21781,86,333.114,96.875,19.764
468,43236,43236,43042,194,901.917,150.655,26.466
469,18888,18888,18818,70,92.250,156.240,19.745
470,21696,21696,21696,0,380.396,274.924,27.465
471,29926,29926,29926,0,13.728,352.894,30.461
472,26039,26039,26000,39,909.311,410.192,25.934
473,44486,44486,44430,56,831.275,413.533,27.447
474,28082,28082,28082,0,798.141,457.828,24.531
475,29868,29868,29635,233,446.179,531.235,24.320
476,27259,27259,27257,2,645.586,646.299,23.773
477,29654,29654,29654,0,570.795,640.219,28.310
478,25173,25173,25173,0,172.147,722.298,24.571
479,21364,21364,21364,0,941.430,767.370,19.929
480,26460,26460,26460,0,311.914,871.670,23.368
481,24940,24940,24908,32,286.125,900.372,24.032
482,49100,49100,49082,18,605.550,893.375,24.585
483,44931,44931,44873,58,462.388,935.308,27.100
484,21003,21003,21003,0,553.991,944.175,20.838
485,16103,16103,16075,28,465.223,1013.137,20.152
486,24056,24056,24056,0,546.291,135.420,25.861
487,43498,43498,43342,156,627.046,128.172,29.226
488,28647,28647,28625,22,941.310,147.355,23.381
489,26729,26729,26713,16,375.366,177.206,27.691
490,26662,26662,26657,5,230.315,215.397,24.462
491,26663,26663,26663,0,862.649,291.786,26.273
492,840,840,840,0,888.326,290.323,26.023
493,39233,39233,39233,0,884.475,273.964,38.172
494,35582,35582,35544,38,689.129,364.934,29.376
495,44638,44638,44638,0,304.256,403.578,33.093
496,26062,26062,26062,0,749.422,580.324,27.328
497,12439,12439,12424,15,966.252,738.955,19.442
498,28314,28314,28314,0,373.150,828.458,29.213
499,27349,27349,27317,32,339.991,843.895,27.468
500,15575,15575,15575,0,217.260,853.270,24.726
501,27344,27344,27274,70,420.418,963.861,22.873
502,415,415,415,0,568.195,960.383,14.665
503,24978,24978,24970,8,532.822,52.558,23.661
504,41686,41686,41590,96,829.201,83.521,28.760
505,7356,7356,7356,0,875.639,110.528,22.133
506,29439,29439,29439,0,276.303,137.208,26.869
507,56902,56902,56756,146,956.504,167.707,30.852
508,26260,26260,26224,36,616.888,201.281,29.049
509,3025,3025,3025,0,130.635,389.798,17.005
510,24643,24643,24643,0,858.326,380.293,26.946
511,27916,27916,27899,17,249.023,434.439,28.653
512,30796,30796,30796,0,438.481,449.529,29.632
513,29976,29976,29976,0,948.717,475.437,27.961
514,25739,25739,25739,0,383.632,496.637,25.341
515,17334,17334,17334,0,483.084,526.055,27.711
516,20772,20772,20712,60,702.334,551.555,26.698
517,42252,42252,42188,64,470.394,573.545,33.134
518,2438,2438,2438,0,105.167,622.496,16.692
519,29960,29960,29960,0,541.685,633.476,32.112
520,44314,44314,44312,2,513.666,654.693,35.468
521,25087,25087,25087,0,73.475,666.487,28.045
522,24172,24172,24172,0,275.321,688.802,24.909
523,39941,39941,39940,1,50.424,721.130,29.790
524,21356,21356,21356,0,353.523,748.184,29.220
525,26852,26852,26852,0,391.952,777.597,27.663
526,29872,29872,29857,15,567.794,920.661,26.578
527,29366,29366,29310,56,923.234,117.190,26.256
528,35585,35585,35088,497,652.308,277.234,29.816
529,48037,48037,48009,28,573.870,289.512,32.921
530,52430,52430,52430,0,716.147,326.513,29.734
531,32382,32382,32197,185,729.436,487.928,29.021
532,41217,41217,41212,5,643.045,477.986,27.458
533,50349,50349,50233,116,679.570,473.463,37.798
534,36810,36810,36810,0,313.576,540.858,34.584
535,52189,52189,51890,299,522.673,593.531,37.301
536,24291,24291,24291,0,273.202,649.826,29.296
537,66107,66107,66107,0,838.852,697.421,38.968
538,28722,28722,28722,0,397.049,741.218,27.089
539,31103,31103,30977,126,533.799,773.591,29.976
540,53356,53356,53356,0,644.536,782.210,29.881
541,19804,19804,19804,0,72.709,822.185,24.625
542,27092,27092,27092,0,310.625,822.396,28.795
543,34308,34308,34308,0,393.158,913.869,29.850
544,47764,47764,47717,47,323.813,957.850,28.188
545,24781,24781,24781,0,572.469,974.969,23.895
546,20229,20229,20104,125,516.601,14.860,23.710
547,28977,28977,28733,244,496.498,45.828,27.197
548,25518,25518,25494,24,955.936,211.942,26.494
549,25639,25639,25639,0,258.309,244.405,25.912
550,42428,42428,42428,0,745.217,235.672,36.402
551,39468,39468,39417,51,309.749,482.293,31.464
552,25999,25999,25999,0,227.210,503.428,32.622
553,36909,36909,36909,0,580.382,550.534,39.779
554,38746,38746,38721,25,309.175,624.679,35.419
555,25387,25387,25387,0,352.274,636.511,27.601
556,52204,52204,51719,485,688.377,631.752,32.998
