Label,VoxelCount,Volume,Centroid.X,Centroid.Y,Centroid.Z
1088,22625,22625,152.486,291.302,52.975
1089,25529,25529,387.895,367.827,55.152
1090,42179,42179,788.843,376.894,56.501
1091,19735,19735,27.455,433.085,52.022
1092,24424,24424,59.526,534.143,52.122
1093,37433,37433,638.071,539.896,55.612
1094,48168,48168,644.953,635.958,57.938
1095,35629,35629,588.405,695.116,53.492
1096,33122,33122,174.315,707.351,55.125
1097,20648,20648,52.347,762.899,52.362
1098,27233,27233,812.003,753.435,52.355
1099,15557,15557,607.466,814.380,57.145
1100,8852,8852,145.796,860.393,49.317
1101,26600,26600,578.888,917.520,53.500
1102,20477,20477,72.708,965.900,53.159
1103,24436,24436,550.415,115.357,52.886
1104,30682,30682,384.376,159.600,55.213
1105,28923,28923,931.460,257.174,53.283
1106,44761,44761,704.846,258.368,52.238
1107,27977,27977,895.078,283.544,57.354
1108,29132,29132,322.941,609.981,57.049
1109,31551,31551,945.378,617.636,56.124
1110,22174,22174,157.736,650.438,52.125
1111,24232,24232,293.924,659.084,50.784
1112,35534,35534,962.134,674.146,56.121
1113,38243,38243,890.869,672.204,54.452
1114,23065,23065,208.979,691.452,53.277
1115,24284,24284,557.323,706.015,56.180
1116,52145,52145,529.645,739.784,55.759
1117,28542,28542,243.625,760.176,54.047
1118,31496,31496,311.925,830.641,56.034
1119,43905,43905,791.870,918.325,56.242
1120,42366,42366,336.247,965.421,57.388
1121,11259,11259,672.508,7.250,56.666
1122,21406,21406,1006.047,13.319,56.317
1123,27166,27166,531.611,49.860,53.208
1124,24514,24514,694.027,84.083,55.043
1125,52351,52351,247.265,133.111,52.757
1126,30723,30723,216.584,191.844,57.920
1127,19827,19827,218.222,276.383,55.871
1128,23029,23029,351.988,341.281,55.970
1129,23194,23194,92.165,344.509,56.800
1130,34086,34086,590.041,491.187,55.034
1131,35589,35589,741.405,458.894,55.949
1132,30664,30664,619.857,498.850,57.230
1133,5822,5822,1017.951,519.475,50.460
1134,35602,35602,851.694,573.795,56.754
1135,23447,23447,67.468,579.332,55.541
1136,24338,24338,96.266,705.314,53.624
1137,25908,25908,237.926,723.136,54.864
1138,22125,22125,342.793,718.917,53.978
1139,23093,23093,297.696,763.850,54.160
1140,383,383,557.838,813.321,47.457
1141,1703,1703,557.413,811.894,49.199
1142,18362,18362,547.606,794.867,55.290
1143,24596,24596,377.512,800.360,53.583
1144,48650,48650,178.603,847.592,55.650
1145,20195,20195,978.458,908.021,50.249
1146,30275,30275,447.428,913.075,55.256
1147,18466,18466,989.106,966.103,51.323
1148,1971,1971,4.402,1014.194,43.930
1149,6189,6189,400.211,4.264,51.730
1150,187,187,314.139,17.096,44.930
1151,35606,35606,403.992,59.088,56.245
1152,25350,25350,616.963,69.609,57.447
1153,27879,27879,69.109,262.070,57.249
1154,34804,34804,796.402,304.479,58.459
1155,32715,32715,193.444,367.747,56.209
1156,38502,38502,575.251,409.210,51.101
1157,17480,17480,110.522,407.246,57.019
1158,23687,23687,386.858,418.281,56.165
1159,25305,25305,199.717,431.461,55.836
1160,27908,27908,455.789,551.105,56.704
1161,26029,26029,169.077,594.112,57.300
1162,22732,22732,380.966,590.571,56.428
1163,34571,34571,128.004,714.867,56.595
1164,29306,29306,493.480,759.810,56.757
1165,17857,17857,298.350,790.131,56.186
1166,6180,6180,1018.844,798.275,51.754
1167,217,217,558.313,812.055,47.687
1168,24952,24952,419.661,809.372,56.476
1169,29754,29754,525.810,813.267,57.627
1170,23175,23175,81.912,845.219,53.875
1171,21712,21712,554.199,961.288,50.959
1172,19363,19363,751.930,12.541,57.029
1173,22290,22290,246.678,16.650,56.885
1174,23053,23053,531.722,17.757,55.573
1175,33506,33506,351.411,83.495,56.949
1176,24700,24700,63.986,133.868,55.887
1177,31657,31657,558.791,191.997,57.189
1178,37259,37259,711.990,199.579,53.336
1179,35753,35753,549.827,271.981,55.750
1180,26186,26186,165.360,335.303,56.672
1181,14997,14997,128.396,368.980,55.836
1182,21258,21258,260.324,451.984,55.619
1183,3796,3796,98.505,472.683,46.533
1184,485,485,678.431,496.676,48.880
1185,20048,20048,159.993,554.203,55.973
1186,19780,19780,255.262,570.947,56.887
1187,18198,18198,1009.538,588.549,55.776
1188,27845,27845,263.895,597.966,56.627
1189,20500,20500,53.411,640.595,55.243
1190,19778,19778,222.373,660.815,55.802
1191,6374,6374,4.807,670.518,49.785
1192,22071,22071,12.537,712.560,54.902
1193,29176,29176,574.582,731.372,58.074
1194,26250,26250,729.183,743.859,57.321
1195,29326,29326,352.460,753.260,56.495
1196,26707,26707,245.237,843.347,54.098
1197,22724,22724,335.329,846.077,54.292
1198,25158,25158,984.072,940.480,59.180
1199,55418,55418,510.542,955.453,56.939
1200,41489,41489,213.924,994.810,58.233
1201,12446,12446,219.915,9.003,56.216
1202,17610,17610,122.241,57.143,57.415
1203,33753,33753,805.057,68.794,56.970
1204,22538,22538,872.820,114.097,58.656
1205,18247,18247,383.811,229.957,61.645
1206,26591,26591,806.094,226.847,58.819
1207,18221,18221,9.466,226.790,56.021
1208,35652,35652,732.057,271.393,57.748
1209,30949,30949,374.255,279.036,56.920
1210,41897,41897,712.941,350.531,57.241
1211,23859,23859,233.559,366.734,56.295
1212,21209,21209,318.801,372.258,54.890
1213,26240,26240,253.136,397.278,57.947
1214,23074,23074,220.190,485.284,55.481
1215,47213,47213,721.103,489.830,58.017
1216,31610,31610,666.180,482.685,60.258
1217,29587,29587,589.533,570.483,59.607
1218,40863,40863,586.177,615.596,57.945
1219,31856,31856,693.662,725.756,57.113
1220,28822,28822,229.988,785.281,57.032
1221,29283,29283,197.626,819.351,57.772
1222,20677,20677,130.938,824.467,55.967
1223,25864,25864,388.146,839.280,58.214
1224,36629,36629,716.958,857.463,57.962
